,name,0,industry
0,tv media inc.,others,others
1,university of british columbia,Education,education
2,msi corp (bell canada),Telecommunications,telecommunications
3,applied research investments,investment management,investment management
4,astek canada inc.,others,others
5,pbs systems,information technology and services,information technology and services
6,logix its inc.,Transportation Equipment Manufacturing,transportation equipment manufacturing
7,aplin and associates inc,others,others
8,westjet airlines,Transportation & Logistics,transportation & logistics
9,siemens canada limited,Energy & Utilities,energy & utilities
10,"remote technology, inc.",others,others
11,tiger analytics inc.,Business Consulting,business consulting
12,canadian security intelligence service,Government & Public Administration,government & public administration
13,shared health,Healthcare,healthcare
14,sayvee creative inc.,Media & Communication,media & communication
15,altair engineering,Internet & Web Services,internet & web services
16,raytheon intelligence & space,Aerospace & Defence,aerospace & defence
17,acerta analytics solutions inc,information technology and services,information technology and services
18,manitoba government,Government & Public Administration,government & public administration
19,brainlabs digital,Media & Communication,media & communication
20,white ash group,Machinery Manufacturing,machinery manufacturing
21,mobsquad,others,others
22,farm credit canada,financial services,financial services
23,global affairs canada,Government & Public Administration,government & public administration
24,agriculture financial services corporation,financial services,financial services
25,arc brothers electric,others,others
26,global affairs canada,Government & Public Administration,government & public administration
27,compest solutions,computer software,computer software
28,"scc ups scs, inc.",others,others
29,waterloo brewing,Manufacturing,manufacturing
30,unstoppable domains,others,others
31,digittopia,Healthcare,healthcare
32,online marketing systems,others,others
33,compest solutions,computer software,computer software
34,pall,Manufacturing,manufacturing
35,westjet airlines,Transportation & Logistics,transportation & logistics
36,liquidation max inc.,Auctions & Galleries,auctions & galleries
37,qliq inc.,others,others
38,university of british columbia,Education,education
39,"analysis group, inc.",Business Consulting,business consulting
40,quest global engineering,Aerospace & Defence,aerospace & defence
41,compest solutions,computer software,computer software
42,the university of calgary,Education,education
43,newton holding ltd,others,others
44,traffic tech inc.,Transportation & Logistics,transportation & logistics
45,nutrien ltd.,Agriculture,agriculture
46,centre for equality rights in accommodation,Grantmaking & Charitable Foundations,grantmaking & charitable foundations
47,city of calgary,Government & Public Administration,government & public administration
48,ontario collision centre,others,others
49,worksafenb,Government & Public Administration,government & public administration
50,heyday ai,information technology and services,information technology and services
51,syniti,others,others
52,cfr chemicals inc,others,others
53,nugget.ai,others,others
54,suncor energy services,"Energy, Mining, Utilities","energy, mining, utilities"
55,trader corporation,Media & Communication,media & communication
56,jones healthcare group,Commercial Printing,commercial printing
57,west gta healthcare shared services,Healthcare,healthcare
58,bluvec technologies inc,others,others
59,alimentiv,Healthcare,healthcare
60,johnson & johnson family of companies,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
61,scarsin,others,others
62,perpetua,retail,retail
63,legible inc.,others,others
64,thescore inc.,Media & Communication,media & communication
65,upfeat media inc.,information technology and services,information technology and services
66,canadian security intelligence service,Government & Public Administration,government & public administration
67,dbd intelligence.inc,others,others
68,fundthrough inc.,others,others
69,milestone law professional corporation,legal services,legal services
70,nexelis,Biotechnology,biotechnology
71,pomerleau,construction,construction
72,coca-cola canada bottling limited,Restaurants & Food Service,restaurants & food service
73,minesense technologies,others,others
74,canada life assurance company,Insurance,insurance
75,canonical - jobs,information technology and services,information technology and services
76,symend,others,others
77,cineplex,Media & Communication,media & communication
78,hitachi energy,Energy & Utilities,energy & utilities
79,stratuscent,others,others
80,shipnow logistics,Shipping & Trucking,shipping & trucking
81,lightspeed commerce,information technology and services,information technology and services
82,felix & paul studios inc.,others,others
83,vault credit corporation,banking,banking
84,fraser health,Healthcare,healthcare
85,true north freight solutions inc,Transportation Management,transportation management
86,enco construction ltd.,Construction,construction
87,deeta it solutions inc,others,others
88,total credit recovery,financial services,financial services
89,ctconsultants,others,others
90,ginqo consulting ltd,others,others
91,webley express inc.,others,others
92,epic - educational program innovations center,others,others
93,bc maritime employers association,Transportation,transportation
94,office of the superintendent of financial institutions canada,Government & Public Administration,government & public administration
95,pantheon odyssey technologies ltd.,airlines/aviation,airlines/aviation
96,exioms canada,others,others
97,medavie blue cross,Insurance,insurance
98,rocket science development,information technology and services,information technology and services
99,ecofish research,others,others
100,razr marketing,others,others
101,tamarack freight ltd,others,others
102,ecoation,others,others
103,kan security inc.,others,others
104,office of the chief electoral officer,others,others
105,groupe digitad inc.,others,others
106,score media ventures inc.,others,others
107,unstoppable domains,others,others
108,ipsos north america,Telecommunications,telecommunications
110,shorewise consulting llc,computer software,computer software
111,mark anthony group inc. - canada,Manufacturing,manufacturing
112,eastside games,others,others
113,swift connect inc,others,others
114,university of british columbia,Education,education
115,heart & stroke,Non-profit & NGO,non-profit & ngo
116,publicis sapient,Business Consulting,business consulting
117,la société d'aide au développement des collectivités de gaspé (s.a.d.c.),others,others
118,trupanion,Insurance,insurance
119,nu ventures solutions ltd.,others,others
120,mcsherry auction service ltd.,retail,retail
121,meridian rv mfg ltd,others,others
122,phsa,Healthcare,healthcare
123,ze power group,information technology and services,information technology and services
124,kelowna flightcraft,Aerospace & Defence,aerospace & defence
125,the nature conservancy of canada,Non-profit & NGO,non-profit & ngo
126,university of british columbia,Education,education
127,eu health and innovations inc.,others,others
128,supreme wire products ltd.,others,others
129,sensenet inc.,information technology and services,information technology and services
130,lightspeed commerce,information technology and services,information technology and services
131,numerator,information technology and services,information technology and services
132,the empire life ins. co,others,others
133,create music group canada,others,others
134,nr consulting llc,Business Consulting,business consulting
135,malatest,information technology and services,information technology and services
136,unstoppable domains,others,others
